date,symbol,open,high,low,close,volume
2026-07-28,INFY,1097.0,1118.5,1097.0,1105.7,28100895
2026-07-28,RELIANCE,1275.0,1279.2,1265.9,1267.7,9312184
2026-07-28,TCS,2325.0,2417.4,2323.0,2398.0,8248513
2026-07-29,INFY,1147.0,1164.5,1128.4,1155.6,34400369
2026-07-29,RELIANCE,1275.0,1282.4,1268.7,1275.9,9448307
2026-07-29,TCS,2440.0,2475.5,2415.1,2446.6,7169419
2026-07-30,INFY,1168.0,1187.7,1151.3,1155.1,22630218
2026-07-30,RELIANCE,1279.8,1297.0,1275.3,1292.9,12158451
2026-07-30,TCS,2440.0,2495.0,2423.0,2431.8,4901582
2026-07-31,INFY,1118.9,1139.3,1107.2,1130.1,14367075
2026-07-31,RELIANCE,1295.0,1309.7,1293.6,1307.8,8624996
2026-07-31,TCS,2385.0,2391.0,2326.1,2365.6,4343683
2026-08-01,INFY,1140.0,1243.1,1017.1,1017.1,3508793
2026-08-01,RELIANCE,1302.0,1569.1,1300.0,1438.9,22665439
2026-08-01,TCS,2365.6,2720.3,2151.0,2510.0,2177128
